quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
"Digital Humanities is an academic and social engagement with electronic formats of human cultural processes and forms such as literature, art, history, and music.",Valerie M. Fazel,2012-01-01,139,"digital humanities is an academic and social engagement with electronic formats of human cultural processes and forms such as literature, art, history, and music.","['digital', 'humanities', 'is', 'an', 'academic', 'and', 'social', 'engagement', 'with', 'electronic', 'formats', 'of', 'human', 'cultural', 'processes', 'and', 'forms', 'such', 'as', 'literature', ',', 'art', ',', 'history', ',', 'and', 'music', '.']",2012,28,0,0.0
I don't! I just do it,Nick Mirzoeff,2012-01-01,140,i don't! i just do it,"['i', 'do', ""n't"", '!', 'i', 'just', 'do', 'it']",2012,8,0,0.0
Digital Humanities is a perspective combining the understanding of a Humanities subject and the understanding of the potential of applying a digital approach to its study.,Matteo Romanello,2012-01-01,141,digital humanities is a perspective combining the understanding of a humanities subject and the understanding of the potential of applying a digital approach to its study.,"['digital', 'humanities', 'is', 'a', 'perspective', 'combining', 'the', 'understanding', 'of', 'a', 'humanities', 'subject', 'and', 'the', 'understanding', 'of', 'the', 'potential', 'of', 'applying', 'a', 'digital', 'approach', 'to', 'its', 'study', '.']",2012,27,0,0.0
"Digital Humanitis is a developing subdiscipline within the traditional humanities disciplines as well as a developing discipline based in a focus on the materiality of the methods, documents, and the information of the humanities. Beyond that, I haveno idea.",Sharon Cogdill,2012-01-01,142,"digital humanitis is a developing subdiscipline within the traditional humanities disciplines as well as a developing discipline based in a focus on the materiality of the methods, documents, and the information of the humanities. beyond that, i haveno idea.","['digital', 'humanitis', 'is', 'a', 'developing', 'subdiscipline', 'within', 'the', 'traditional', 'humanities', 'disciplines', 'as', 'well', 'as', 'a', 'developing', 'discipline', 'based', 'in', 'a', 'focus', 'on', 'the', 'materiality', 'of', 'the', 'methods', ',', 'documents', ',', 'and', 'the', 'information', 'of', 'the', 'humanities', '.', 'beyond', 'that', ',', 'i', 'haveno', 'idea', '.']",2012,44,0,0.0
Using digital tools to discover something new to further knowledge of humanity,Melody Dworak,2012-01-01,143,using digital tools to discover something new to further knowledge of humanity,"['using', 'digital', 'tools', 'to', 'discover', 'something', 'new', 'to', 'further', 'knowledge', 'of', 'humanity']",2012,12,1,0.08333333333333333
The application of computational methods to research and teaching in the humanities.,John Unsworth,2012-01-01,144,the application of computational methods to research and teaching in the humanities.,"['the', 'application', 'of', 'computational', 'methods', 'to', 'research', 'and', 'teaching', 'in', 'the', 'humanities', '.']",2012,13,0,0.0
The use of digital technology to study the field of humanities by combining the computational power of modern computer with the cognitive function of the human brain.,Jack Tang,2012-01-01,145,the use of digital technology to study the field of humanities by combining the computational power of modern computer with the cognitive function of the human brain.,"['the', 'use', 'of', 'digital', 'technology', 'to', 'study', 'the', 'field', 'of', 'humanities', 'by', 'combining', 'the', 'computational', 'power', 'of', 'modern', 'computer', 'with', 'the', 'cognitive', 'function', 'of', 'the', 'human', 'brain', '.']",2012,28,0,0.0
Do we really need a definition? Something like jazz? you know it's jazz when you hear it (Louis Armstrong).,Patrizia Rebulla,2012-01-01,146,do we really need a definition? something like jazz? you know it's jazz when you hear it (louis armstrong).,"['do', 'we', 'really', 'need', 'a', 'definition', '?', 'something', 'like', 'jazz', '?', 'you', 'know', 'it', ""'s"", 'jazz', 'when', 'you', 'hear', 'it', '(', 'louis', 'armstrong', ')', '.']",2012,25,0,0.0
a very rewarding activity which still scares people who don't understand that computers can generate meaning,evanhout,2012-01-01,147,a very rewarding activity which still scares people who don't understand that computers can generate meaning,"['a', 'very', 'rewarding', 'activity', 'which', 'still', 'scares', 'people', 'who', 'do', ""n't"", 'understand', 'that', 'computers', 'can', 'generate', 'meaning']",2012,17,0,0.0
"At the digital age the aim of digital humanities is how we use digital technology to create new knowledge. Digital humanities become more interdisciplinary based on digital technology among literature, philosophy, history, aesthetics, ethics and so on.",Akira Baba,2012-01-01,148,"at the digital age the aim of digital humanities is how we use digital technology to create new knowledge. digital humanities become more interdisciplinary based on digital technology among literature, philosophy, history, aesthetics, ethics and so on.","['at', 'the', 'digital', 'age', 'the', 'aim', 'of', 'digital', 'humanities', 'is', 'how', 'we', 'use', 'digital', 'technology', 'to', 'create', 'new', 'knowledge', '.', 'digital', 'humanities', 'become', 'more', 'interdisciplinary', 'based', 'on', 'digital', 'technology', 'among', 'literature', ',', 'philosophy', ',', 'history', ',', 'aesthetics', ',', 'ethics', 'and', 'so', 'on', '.']",2012,43,0,0.0
"Digital humanities are tools, methods and understanding of how digital technologies enable and change research and research infrastructures and practices in humanities.",Louise Kennedy,2012-01-01,149,"digital humanities are tools, methods and understanding of how digital technologies enable and change research and research infrastructures and practices in humanities.","['digital', 'humanities', 'are', 'tools', ',', 'methods', 'and', 'understanding', 'of', 'how', 'digital', 'technologies', 'enable', 'and', 'change', 'research', 'and', 'research', 'infrastructures', 'and', 'practices', 'in', 'humanities', '.']",2012,24,1,0.041666666666666664
The study of the Humanities through methods and with perspectives arising from the application of digital procedures.,Paolo Monella,2012-01-01,150,the study of the humanities through methods and with perspectives arising from the application of digital procedures.,"['the', 'study', 'of', 'the', 'humanities', 'through', 'methods', 'and', 'with', 'perspectives', 'arising', 'from', 'the', 'application', 'of', 'digital', 'procedures', '.']",2012,18,0,0.0
Digital Humanities is a field that aims at developing and using the digital resources and tools for solving the research questions in the Humanities.,Takafumi Suzuki,2012-01-01,151,digital humanities is a field that aims at developing and using the digital resources and tools for solving the research questions in the humanities.,"['digital', 'humanities', 'is', 'a', 'field', 'that', 'aims', 'at', 'developing', 'and', 'using', 'the', 'digital', 'resources', 'and', 'tools', 'for', 'solving', 'the', 'research', 'questions', 'in', 'the', 'humanities', '.']",2012,25,1,0.04
"The use of digital tools, technologies, and techniques to explore, analyze, and understand the humanities.",Simon Appleford,2012-01-01,152,"the use of digital tools, technologies, and techniques to explore, analyze, and understand the humanities.","['the', 'use', 'of', 'digital', 'tools', ',', 'technologies', ',', 'and', 'techniques', 'to', 'explore', ',', 'analyze', ',', 'and', 'understand', 'the', 'humanities', '.']",2012,20,1,0.05
"The Digital Humanities is a capacious enterprise that includes, among other things, research using computational and algorithmic methods to study culture and history as well as efforts to use digital media to share humanities content beyond the academy and encourage active engagement with that content by a broad public.",Rob Nelson,2012-01-01,153,"the digital humanities is a capacious enterprise that includes, among other things, research using computational and algorithmic methods to study culture and history as well as efforts to use digital media to share humanities content beyond the academy and encourage active engagement with that content by a broad public.","['the', 'digital', 'humanities', 'is', 'a', 'capacious', 'enterprise', 'that', 'includes', ',', 'among', 'other', 'things', ',', 'research', 'using', 'computational', 'and', 'algorithmic', 'methods', 'to', 'study', 'culture', 'and', 'history', 'as', 'well', 'as', 'efforts', 'to', 'use', 'digital', 'media', 'to', 'share', 'humanities', 'content', 'beyond', 'the', 'academy', 'and', 'encourage', 'active', 'engagement', 'with', 'that', 'content', 'by', 'a', 'broad', 'public', '.']",2012,52,0,0.0
"That which makes us conscious of our methodology of inquiry. Since digital things are not necessarily electric, maybe we can do digital humanities without computers?",Yoichi Iwasaki,2012-01-01,154,"that which makes us conscious of our methodology of inquiry. since digital things are not necessarily electric, maybe we can do digital humanities without computers?","['that', 'which', 'makes', 'us', 'conscious', 'of', 'our', 'methodology', 'of', 'inquiry', '.', 'since', 'digital', 'things', 'are', 'not', 'necessarily', 'electric', ',', 'maybe', 'we', 'can', 'do', 'digital', 'humanities', 'without', 'computers', '?']",2012,28,0,0.0
"Humanists creating, using, researching digital materials to do their work.",Alice Hickcox,2012-01-01,155,"humanists creating, using, researching digital materials to do their work.","['humanists', 'creating', ',', 'using', ',', 'researching', 'digital', 'materials', 'to', 'do', 'their', 'work', '.']",2012,13,0,0.0
It be what it is because it do.,Luke Waltzer,2012-01-01,156,it be what it is because it do.,"['it', 'be', 'what', 'it', 'is', 'because', 'it', 'do', '.']",2012,9,0,0.0
"The intersection of technology and liberal arts, using emerging technology to digitize material for humanists to promote cross disciplinary studies of traditional subjects.",Tracy Jentzsch,2012-01-01,157,"the intersection of technology and liberal arts, using emerging technology to digitize material for humanists to promote cross disciplinary studies of traditional subjects.","['the', 'intersection', 'of', 'technology', 'and', 'liberal', 'arts', ',', 'using', 'emerging', 'technology', 'to', 'digitize', 'material', 'for', 'humanists', 'to', 'promote', 'cross', 'disciplinary', 'studies', 'of', 'traditional', 'subjects', '.']",2012,25,0,0.0
Digital Humanities is a mode of inquiry and scholarship. It seeks to engage traditional questions using computational tools. It seeks to disseminate information in digital formats. And it engages questions of how reliance on computational tools shapes the questions asked and interpretations offered in the humanities.,Jeri Wieringa,2012-01-01,158,digital humanities is a mode of inquiry and scholarship. it seeks to engage traditional questions using computational tools. it seeks to disseminate information in digital formats. and it engages questions of how reliance on computational tools shapes the questions asked and interpretations offered in the humanities.,"['digital', 'humanities', 'is', 'a', 'mode', 'of', 'inquiry', 'and', 'scholarship', '.', 'it', 'seeks', 'to', 'engage', 'traditional', 'questions', 'using', 'computational', 'tools', '.', 'it', 'seeks', 'to', 'disseminate', 'information', 'in', 'digital', 'formats', '.', 'and', 'it', 'engages', 'questions', 'of', 'how', 'reliance', 'on', 'computational', 'tools', 'shapes', 'the', 'questions', 'asked', 'and', 'interpretations', 'offered', 'in', 'the', 'humanities', '.']",2012,50,2,0.04
